,Strain,Cef,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
0,CF592_Iso2,1.0,0,-12.504184882160024,26.09469378290005,0.18473143291555627,-7.5717053653399,-27.124846691892493,-32.18336165195794
1,CF609_Iso3,1.0,1,-88.16696112921646,-19.682219405000065,-4.162618792146381,4.397326278501845,24.33479600465021,15.23873583542774
2,CH2500,0.0,2,-39.88237300293118,-19.192044803686564,2.5080908040145937,-10.803898476333147,-33.61992759053143,-41.28852628859382
4,CH2522,1.0,4,36.76658272742286,-49.813715098891066,-6.433877784457359,-1.3247750315476656,31.935078461584748,-3.3340456940598315
5,CH2527,0.0,5,59.16084495247038,-45.11115050014011,-5.660335036694395,0.6494724945418948,22.27098859768304,13.55166993379644
6,CH2543,0.0,6,7.883212254189552,-14.475303830650832,21.34524830052226,4.860470070260588,-64.26601834571453,33.655583640597314
7,CH2560,1.0,7,-1.56302569828982,6.384217861678083,22.3450996293605,5.001307808397904,-64.38122817211688,33.91415477023469
8,CH2582,0.0,8,-5.813123434173132,-14.382092096609783,-5.946813711704128,1.285132997717115,30.75251260798107,3.3624786629495276
9,CH2591,1.0,9,-2.9155170929897087,-16.688155606188822,22.276177165167024,4.878750517057471,-63.75120406497089,32.65140870942524
11,CH2598,0.0,11,30.28441115294292,-14.869346277876778,-4.901048874026953,-3.087293094884653,26.295623527603002,1.8516179630606402
12,CH2608,1.0,12,20.086300302889498,-38.53683472318421,16.888173366616368,-1.329687120469985,-57.69715916116969,13.428985385629758
14,CH2639,1.0,14,-15.3156354619125,-2.90820902477273,22.67319514775785,5.045605239393723,-64.9854204174194,35.277716552843486
15,CH2657,0.0,15,20.111538199120094,27.094698176565398,22.098334744420228,5.17976069075794,-64.87455294105098,34.913816522105336
17,CH2660,1.0,17,21.468549927017587,-18.829854230155807,-5.708700638441642,-4.6413749792353185,28.29331724313815,-7.831334074038523
18,CH2665,1.0,18,36.01000493737567,-31.276698915196416,3.471972689368764,-7.494544201743026,-35.621858603824144,-23.11436988382394
19,CH2672,0.0,19,-11.27235349056419,26.549686944100642,5.786272252121991,-2.0185996679033797,-34.686691021411576,-20.873121186167403
22,CH2677,0.0,22,-19.93907560127166,-14.111262417343394,0.07548344344345104,-6.729840377789552,-25.13580905464537,-31.158078610498077
23,CH2678,0.0,23,31.298192162581824,11.625209738243358,-5.210452707592621,-3.298721471891822,24.284309433445603,0.7190005427580246
26,CH2685,0.0,26,89.89965666271752,-68.11741252622618,0.53243882925801,-7.290488738607094,-29.02914499036175,-29.23041440807297
27,CH2687,0.0,27,5.8081674589613534,3.1428563267636154,3.690957024940346,-6.052547485235834,-31.934825966790033,-17.276999005977995
28,CH2690,0.0,28,149.09188659797854,-32.662690321300374,-3.689985671844896,1.2939717380179925,24.215027992788666,-4.832462504164241
29,CH2698,0.0,29,-30.551389652795443,-34.81606044720627,-3.298706047177672,4.061628611197449,21.70918369533894,10.011367938712056
31,CH2705,1.0,31,29.633091696748593,-8.562320057976546,3.486612094545114,-7.361564729525723,-40.299427916726906,-10.005549713263655
32,CH2706,1.0,32,1.3561063919652117,-25.98001521894883,-2.996562989955625,5.276621194958826,25.8729659071434,7.946421971710599
33,CH2707,1.0,33,136.02021788022446,-24.56668660332463,-5.293357323593411,-2.5927038302857177,28.736587400507364,-1.7997077407903461
34,CH2713,0.0,34,106.39975960927387,2.4912920655756547,2.2155232964893914,-11.60230755845705,-31.446782339702246,-47.21326476858245
35,CH2718,0.0,35,37.252202215157084,2.395613749991061,-5.277772419253496,0.6489319984716833,31.188739636176646,0.6262221734564406
36,CH2724,0.0,36,-13.603752431580823,-15.266674860137861,-6.666000095644323,-4.283551767143973,27.796932833495998,0.9688058681321934
37,CH2730,0.0,37,53.62523330702998,-0.15542394054442976,2.318506238177709,-5.81174630834887,-30.895774597577176,-29.526678328010373
39,CH2735,0.0,39,5.8154933028040405,-33.929608949861894,-5.250760415996819,-1.455083900788975,22.225273034710757,-6.854990805977714
40,CH2747,0.0,40,21.812399120438837,-33.716893124036304,-7.852874735517632,13.935168294066026,32.05478891795913,8.19550722200988
42,CH2756,0.0,42,-43.55549886937137,-10.051007241699862,-6.664874626295711,-0.2227364146550972,30.636229580219247,4.92108315425677
43,CH2764,1.0,43,-6.988402609297915,-17.78326664206773,-2.7875725655135732,-3.558377315664944,13.237613778062144,-0.04229166558479136
44,CH2824,0.0,44,6.995947775419771,-0.19006905566940024,0.027967817943637785,-6.7880456898641,-25.93435614852865,-31.049783043832292
45,CH2829,0.0,45,48.221867383295375,-51.36176403084343,1.9676898231174211,-8.050091523172677,-31.32112977561913,-36.78503883891764
47,CH2860,1.0,47,47.323044392937035,-7.041496685285408,-6.31521723800516,-5.300720884568538,28.691569712835406,-10.335299671266014
48,CH2875,0.0,48,31.55678430936293,-25.97905467403864,-7.102048571692521,13.06188941381926,29.38791936677872,21.181176197108996
49,CH2922,0.0,49,-23.266126920163313,-38.735076415595145,0.0426212520457685,-7.694026040940651,-24.489608366960375,-18.419775217651715
50,CH2939,0.0,50,17.801786402663595,2.834575195711535,-5.549546834588495,-5.8037945337256875,21.63503354549754,-3.4076299420491054
51,CH3173,1.0,51,-51.66765791289127,18.65051934948859,21.866864941025053,4.967451352115612,-64.37223157380812,34.40674553359739
52,CH3177,0.0,52,-15.205329192724873,3.390811665473513,-6.706083521568824,-4.84301232858454,28.19564127120989,-2.7908179956277834
54,CH3325,1.0,54,5.748021790392775,-2.963869310558519,-4.294118028102458,1.6898571619992406,25.738173918829634,8.984819837560416
55,CH3462,0.0,55,-29.188476398329332,2.6518943066732876,1.7146022094432907,-11.609606953185658,-32.505669607894106,-43.02023973741531
57,CH3484,0.0,57,-44.658629276722344,-2.4490809631658106,-3.8104523312311644,3.81087214958632,29.684447606739685,8.875119646086475
58,CH3549,0.0,58,9.45164147711476,-8.340324445788038,-5.282391382341741,-1.8590135299848471,23.81577711113201,1.113711053942815
59,CH3570,1.0,59,-51.48588008327009,-25.159413632942428,-6.198412622530223,-0.7910625870128936,31.48052349272081,-9.010721765033772
60,CH3613,1.0,60,-0.37681094107204305,-16.936795357694614,-2.873406905611993,5.646017498614505,22.287914354032207,14.927754048257441
61,CH3648,1.0,61,0.6447826025800075,-0.47695247997840107,21.489997734315477,5.662142786800866,-61.601899956970044,30.642748406403754
63,CH3882,0.0,63,-132.96513321424968,16.37047589919278,-6.198223118362349,-2.2001690072280935,30.20967603125221,-0.2948096674428342
64,CH3906,0.0,64,-86.7495411029641,-22.927919143343104,-3.990703440030061,3.4119306002136334,29.188603631977404,7.821480120300215
65,CH4035,1.0,65,-70.70315629034425,22.040535487543796,22.302125624580487,5.358435412580327,-64.69109500518898,34.557982446105115
67,CH4411,1.0,67,-70.27798466022736,16.32349960364892,-5.2731808085225635,1.5336405132966977,24.82555482632075,13.602615397645373
69,CH4433,1.0,69,-49.15221639919905,-2.7375257231257137,-0.17892848170556608,-3.9783407378166196,-18.58192488993784,-14.448290764528949
70,CH4438,1.0,70,-14.995646171449092,-0.7445853971590978,-6.240294996320524,-1.403372571881425,31.029539856003122,-3.7931101979734336
71,CH4443,1.0,71,-95.8508006980823,16.662897869000282,-8.096450006647997,13.29873335934864,31.885279037130093,11.770631258541542
72,CH4446,0.0,72,5.4916929376688595,-9.588664386779934,-5.947246900866946,-2.889034326644216,29.400035835298194,-3.8996838807440284
73,CH4489,0.0,73,-28.677997515443717,-24.336162526509685,1.3150077285435853,-10.069515742700144,-26.909805290419165,-35.130757190108234
74,CH4509,0.0,74,-81.59423510003096,-8.320211631394294,-6.794648118417813,-0.6227408189980572,31.751729531895453,-4.125566628567398
76,CH4528,0.0,76,-36.93256048591106,8.66044283731204,-4.949419386503023,0.8973460816367158,23.82801060949375,-5.546213427545943
77,CH4548,1.0,77,-44.930346576371754,-1.1756108062068984,22.656135687913796,5.030150927233471,-64.03807842371107,33.08992699989801
78,CH4549,0.0,78,57.77610589269726,21.15013042977449,-5.1031194452022355,1.6780284115973814,24.451783168027927,14.368562192462193
79,CH4560,1.0,79,-2.784310256788693,-3.87136093953093,17.66606708444413,3.8127479384684797,-55.08386786202307,15.283526042049118
80,CH4584,1.0,80,24.132359876918446,-15.437376812102315,-4.890028203434326,-3.3185839883552806,23.59707993158415,-9.064182954216967
81,CH4591,0.0,81,55.53804540916523,10.823746925069537,-5.483280555999634,0.8785238127737554,30.87692868975188,-3.066452745099724
82,CH4602,0.0,82,-69.90609147990983,-31.623468940990488,20.68542035459238,4.520364297529829,-63.452454897977816,32.35189976156708
83,CH4634,0.0,83,-87.95064504937596,25.935468381082234,4.426780615673132,-1.2119937436976285,-31.68090109535694,-24.240244927618424
84,CH4681,1.0,84,-95.45351297551407,-18.26038347856781,-6.082415193881847,-2.1993947311145448,29.240958885840694,-7.212139585220932
86,CH4703,1.0,86,18.315338142472097,-1.9972823880184483,-5.926868418887656,-1.5056998164771684,26.57011748789333,4.1488838177788026
87,CH4704,1.0,87,-31.343657344633524,-28.484054798147074,-5.928744234036742,-3.41326588632288,27.68686748072209,-5.930474192113117
88,CH4733,0.0,88,-34.0694748574389,17.723688860724952,-4.918321237237505,-0.3426645606868597,22.128112402559186,12.855085290960822
89,CH4745,1.0,89,14.85214780754051,-30.85725878766324,22.561249659594655,5.333492633081198,-64.07710834705092,33.200305708529626
90,CH4755,0.0,90,42.56969701341784,-28.483496147771778,-3.648420924548077,5.8333636442562415,28.69194123658284,5.496675025548598
91,CH4757,1.0,91,-13.834019849957231,-19.329141698137555,1.7330182960568317,-9.121216176071838,-31.21506466266545,-43.86394159707049
92,CH4766,1.0,92,25.20199039331114,-0.9618742201431033,-4.169015179926048,-2.534864563896978,18.691349459726904,2.430793646998737
93,CH4780,1.0,93,12.430068602613666,-7.828645170266693,-4.518423289902612,-5.544768489988101,9.950842315714052,-13.176738615028107
95,CH4840,1.0,95,-7.264328812382983,-42.472953655064536,-3.2971484492508893,0.7517882982590489,24.996872603250484,13.259794618543332
96,CH4860,0.0,96,2.5392273956026226,-30.19011152547009,-3.7938169027047226,4.769937964158267,29.1906025732689,6.690832924030737
97,CH4862,0.0,97,29.742967097524524,-4.486713570274502,1.0248640116075298,-7.914311422938379,-27.445920912302093,-24.49419973194526
98,CH4877,1.0,98,32.50746501417218,-15.148866734250754,4.810842828183243,-3.6709970556241744,-40.01188368488522,-8.054993673044983
99,CH4878,1.0,99,46.08546568559371,-36.31485450892994,-5.107384475203426,-1.9626997320333652,27.205954105733124,-2.7748464308425937
100,CH4891,0.0,100,-29.434641124517203,-9.645056728816925,-4.204062908409627,4.081740592551249,29.207363496773265,8.552403817613616
101,CH4914,0.0,101,-124.23295429329197,-20.88013495257175,-3.1246242593157514,3.5204330174270932,20.705219954049692,8.129454858073679
102,CH4916,1.0,102,8.99498841999774,-29.038106632486084,21.297081119438587,5.12008745249781,-63.40730163841572,32.11948451105613
104,CH4992,0.0,104,-51.56778533696788,24.11456292995628,-3.7534583289809507,4.654341245964337,-31.479807386790032,-46.507029448275716
106,CH5052,0.0,106,7.200840621492916,12.325714901767398,16.746074226528997,1.704347619686402,-55.19841323932952,15.897181638482387
107,CH5066,1.0,107,-16.229839611295066,15.771904919937187,-6.173492667589012,-1.3210308525637249,28.725474290845373,-5.393646944856457
108,CH5159,1.0,108,-30.112501776651808,43.319510297293355,21.823319787452473,4.908459084484244,-62.096389539138414,28.69957257099925
109,CH5174,1.0,109,-51.51006021407134,-1.8097655554088363,16.756098752774122,2.4237353844140834,-56.48137756108943,14.901546988548063
110,CH5182,1.0,110,-9.212870409119997,-15.604144673392426,-4.6963604558676275,-4.335531262360302,25.29202010341618,-5.426592492453949
111,CH5193,1.0,111,32.77595051452527,28.508989061131885,22.54777119730346,5.108898448365737,-64.88958649887336,34.91036038074071
112,CH5206,1.0,112,29.90920431539698,44.359316139468994,-2.8164729546248535,-5.35052821758609,-2.100490374324089,-8.147091603159708
113,CH5262,0.0,113,48.7204269605179,-46.81551414265247,-5.840105853361125,-3.8655817960262286,27.529304186215402,-0.46818352610976177
115,CH5291,1.0,115,13.106635376768908,-30.28555250774745,-2.5386431656725783,-3.426700486813223,14.931100973948784,-5.1947496480225155
116,CH5334,0.0,116,-34.33071855517368,-21.631328780409028,6.9397429121163094,-3.030964646315504,-39.117482959228674,-13.178984369351312
118,CH5356,0.0,118,4.050418106503133,15.977634765823877,-4.219596308811264,3.587201080970617,25.474089396393634,8.370751417148782
119,CH5362,0.0,119,-2.9625171530317504,-10.529264610766987,-5.1828052701677585,-2.907742372216708,22.23344743463603,1.5928278223005563
120,CH5363,1.0,120,84.33420547456198,29.491123926192667,-4.959226067208863,-3.11030180052156,27.854113313731293,-0.27966650328193055
122,CH5432,0.0,122,59.731419627340564,27.427262943403196,-2.7283502389852723,1.5048591460713432,16.949434446748807,-2.71117871974689
123,CH5462,1.0,123,-9.916533202172404,5.898449559823099,1.4332613106811019,-7.071788147157525,-31.22641879930409,-25.729732251383123
124,CH5464,0.0,124,-32.92257911982348,-20.301023864354544,22.654308832817332,5.2639330486560105,-65.16370988698917,34.92739282882039
127,CH5531,1.0,127,-18.220790798978882,-31.8384945861581,-4.93614994862494,-2.421800296971652,26.581595476926108,-6.35522780654442
129,CH5550,0.0,129,35.41184523785442,-20.364254950871164,-5.277215260151898,-1.1521818970865851,24.03235981067787,-5.0791424783729155
131,CH5591,1.0,131,43.34868447191373,34.849780383454664,2.900616058283261,-7.427660122716551,-35.70803092967706,-22.789874267794573
132,CH5596,0.0,132,-24.562647144160866,-26.54182992359184,2.8953851204386494,-6.611626228600137,-29.98846303723401,-27.733866301431675
134,CH5621,1.0,134,-5.627218640387865,-31.039049862175084,-4.942611295642064,-2.0162785346166006,24.627680865842738,-2.1551658509969016
136,CH5666,1.0,136,-21.769879140172677,4.4623443387943516,22.60910362202005,5.087492501218367,-62.89058509107468,29.546000679832204
138,CH5695,1.0,138,42.57802567095353,-24.921018766163847,22.225280166837013,5.239722880581562,-62.494687056991495,28.87156487326611
139,ESP002,1.0,139,-44.8002869882823,45.18912128847703,0.6294685164866831,-8.301172788391181,-26.390867510105295,-28.301591304483313
140,ESP003,0.0,140,67.66812991110102,41.25308496661719,-0.4329148004564338,-9.247503708848456,-20.674926367402744,-33.120128633696055
141,ESP004,0.0,141,-54.55777424979295,13.005395641599875,-0.5189384717019379,-9.171447440573443,-20.697752835617017,-33.087295180412205
142,ESP006,0.0,142,-20.265411195789518,8.166499005476147,-5.247599944361969,4.006854132310792,27.260418353633003,5.013599059046349
143,ESP009,0.0,143,-25.56113167621809,8.215442321299921,-5.861409679138325,-1.4876223043247796,28.828996647625143,-6.36897911380575
144,ESP011,0.0,144,45.60434442163172,72.25438456563953,-4.04938944290682,8.192255528099187,23.783311360399207,15.270435206242816
145,ESP012,1.0,145,-24.34605781299755,14.580226545437071,-3.817829396768564,-3.104183814345065,12.904543307017622,-2.060741726317005
146,ESP013,0.0,146,-47.827117739987386,7.207833914525195,-4.981728902685199,-1.5941463152871975,15.489931039211452,-2.852932488716995
147,ESP015,0.0,147,-36.10106824533088,23.54970990280877,1.1175715450428536,-8.440060706464882,-28.38720403308244,-33.79387131930356
148,ESP020,0.0,148,18.809606031521035,12.57664511957054,5.170083409883985,-8.454362238393262,-39.236754664819635,-18.28861494736705
149,ESP021,0.0,149,-24.170187457186053,-40.77770920542527,2.720156130907493,-10.135730568695669,-30.24018651455168,-47.05293864923271
150,ESP022,0.0,150,19.97926366679207,61.38784972546261,-5.2463649033228075,-0.16082646947281454,29.043923038798905,-0.9861102131448689
151,ESP023,1.0,151,-17.960055793639572,-15.40410957179913,-4.009465468886801,-2.8721558586035094,17.973661014921834,0.791576406613899
152,ESP024,0.0,152,-20.33779737963819,-7.893313243939922,-5.4036785827098415,0.2713880901630148,24.287727418393953,12.816521262557465
153,ESP025,1.0,153,10.441986633183294,-2.6333656785585666,-5.807615888388225,-1.7753488530930026,28.730812057153283,-5.999068302004154
154,ESP027,1.0,154,-7.443849676626805,-26.420086189063472,-5.379927124050752,-0.6802742071932375,24.12657111824112,-6.165902419999384
155,ESP028,0.0,155,2.504436642571518,-37.036967410359146,2.5982242360735706,-7.146276783372196,-30.61786991855438,-27.705194939895815
156,ESP029,0.0,156,-12.804657845781058,50.676770675754234,-6.136144654718586,-3.0804809105972346,28.575128101949144,-7.460417484309993
157,ESP031,0.0,157,5.793820123234978,22.556492128512875,0.9788591389118102,0.33813117731411424,-6.327267791773313,-4.141543247581488
158,ESP032,0.0,158,-35.4460029593611,28.999306188027134,-2.2040419027286147,-3.87066576934825,9.60077290976167,-11.24937855450392
159,ESP033,0.0,159,-15.552087033736465,9.047087444515666,1.6615913263739885,-8.679397929922436,-28.460843196636752,-33.800944284388365
160,ESP034,0.0,160,-7.334444352254366,-7.499611228632268,-2.549837995763804,-4.847230744317247,-2.9870653906686115,-10.209174481146839
161,ESP035,0.0,161,-10.594586955401615,-7.9547999562561715,-5.85920519187447,-4.5432018667762435,22.10010222296479,-2.155074634833497
162,ESP036,0.0,162,-6.179643398111324,-9.17599018524187,-5.012784840793927,-2.411275817427742,27.211960150298385,-7.45799130872107
163,ESP037,0.0,163,-27.161627213656537,-4.238190379408721,1.7130885419685005,-6.383835521926144,-30.315395797562072,-30.32211796225729
164,ESP038,0.0,164,117.00784081030187,20.352884914599073,-5.380764481118285,-2.9201612981822294,22.51270678627922,4.180915073561756
165,ESP039,0.0,165,109.46069800803461,63.420322608362206,-3.1888317076142743,-5.464824267531558,1.216580183735065,-9.248994194295221
166,ESP040,0.0,166,96.92271327842066,50.901839934090994,-3.183302416991274,-5.383978497950492,1.1743506683486196,-9.367143422427617
168,ESP044,0.0,168,35.54046920817343,42.25358571235322,-5.995097892754509,-1.5679723700282207,27.3853923792192,-2.298336534448275
169,ESP046,0.0,169,-6.121597097163659,-8.409029257831536,-0.6609315268133504,-7.814433808126282,-24.33021773869252,-31.708262332822443
171,ESP050,0.0,171,8.750229029472903,-28.50297744667272,1.1888671894920557,-8.511216731796942,-28.838860015154566,-33.2308505492378
172,ESP053,0.0,172,-28.972136714928073,38.55115053560626,15.32097410802645,-2.619688028408566,-56.73797795484248,13.407863274544674
173,ESP055,0.0,173,-3.460203755382498,-25.457472649001023,-3.841831184211614,2.7601209038548795,25.55107921378708,5.264056108305844
174,ESP057,0.0,174,-0.3939159317269291,-32.9196183560372,-6.842841549424182,-1.6067181799447008,28.261066875314878,-4.568638102441824
180,ESP064,1.0,180,-10.063825301807459,-35.12012351116279,-4.104010697016794,8.779848771643346,19.902469583483434,26.863819432304737
181,ESP066,0.0,181,-74.86024135649943,30.37533972299487,-2.833231340667244,13.821790571282746,24.81381561634387,7.848972686319989
182,ESP067,0.0,182,-117.2007296715837,0.9335342048966366,-6.3893037745604095,-1.323518091722332,25.82999667073908,-3.8098033271430083
183,ESP068,1.0,183,-129.6825768273454,49.24729463615004,17.441464517791815,0.9261150909418738,-58.812682356916696,22.853049585268707
184,ESP069,1.0,184,-110.29620890463758,36.03668898600982,-4.270544461033275,8.834423009475989,20.163999693809462,26.142029192218303
185,ESP070,1.0,185,-78.7891364679462,1.4268306458005267,6.477400896700547,-1.608310539433905,-34.229498244160844,-24.47310170295209
186,ESP071,0.0,186,-81.96775667018062,-18.343584024622384,-3.263771287018978,14.064485146620965,24.969010991299537,6.349487719588467
187,ESP072,1.0,187,-93.2324760048679,14.080926249173745,-5.692670699789894,-4.8608026689393915,24.34722417934457,-7.2511920040107185
188,ESP073,1.0,188,-94.4683818599302,-4.296886701310063,-5.67402697186595,-4.784382160409726,25.348272602127448,-8.891808342050247
189,ESP074,1.0,189,-99.91946383771061,0.992458044649155,-3.146451398910728,13.83307733942902,24.9387026142652,6.75025182374506
191,ESP076,1.0,191,-36.14072131437558,32.5538184591933,0.5177873687346619,-9.712052401998243,-29.275770896193507,-23.178227479525873
192,ESP077,1.0,192,1.9988655730103688,-7.110662044581866,-2.506945335314943,-5.52560840754545,-17.721690568708564,-21.317254985842062
193,ESP078,1.0,193,-17.886655592493852,26.471154616307913,-4.187218249020953,8.732287293696439,19.830923559508197,24.019043108869482
199,ESP088,1.0,199,-53.733202194756586,17.488861152946082,-3.4499375834486505,14.157991700830925,24.876478688358244,6.572133453340697
200,ESP091,0.0,200,-31.229750813033846,20.331904104307668,17.33455088039189,0.43179309692209245,-58.294056327829765,21.292824754241906
201,F1659,0.0,201,51.32792771029978,39.838498291827094,3.2005441091529647,-1.538584956322171,-31.175280128902862,-26.215262820402007
202,F1688,1.0,202,13.22686567826757,-10.655908405565569,-6.048135741860063,-4.466705659733071,27.3640771381386,-8.53793972178579
203,F1689,1.0,203,-6.976230384546695,-35.869598504086326,-6.073867066852327,-4.555129484992251,27.238402013451743,-8.353202608140961
204,F1697,1.0,204,-3.7389957124593347,27.055843185462166,21.07650661361495,3.5309939568086204,-61.9202089853182,29.519275612428444
205,F1706,1.0,205,-24.70589294363755,-17.840035747300533,-7.565425649197869,-1.6600230598292027,32.49658446106896,-8.414650505001191
206,F1712,1.0,206,-28.77597006354313,-5.263335692212156,-3.156278509519382,13.461429994243625,25.380009752854722,8.167382455563448
207,F1724,1.0,207,-24.459738936930012,13.461053435052916,21.404920766464556,3.58460050750322,-63.13884588303149,31.57792136615315
208,F1727,1.0,208,42.76881842688291,5.980205260318997,-5.607161214880289,-3.131233935218365,28.15993624013029,-6.916387867361571
209,F1741,1.0,209,-29.779305824090514,23.936473272462354,20.97782347972947,3.5970484952746684,-63.53251695186245,32.715688301223096
210,F1745,1.0,210,-39.09661284043888,5.602274096577914,-2.4008323178821636,12.346554256587295,25.381404788394416,6.00440136471088
211,F1746,1.0,211,-58.95332284544097,43.83229893872245,21.11785216014684,3.405777797547209,-63.03388895346731,31.76598589408394
